Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
ADTN,19.6,3/18/2016,4:00pm,-0.05,19.77,19.77,19.43,422754,19.65
ADRO,11.97,3/18/2016,4:00pm,0.43,11.59,12.19,11.5,556093,11.54
AAP,157.47,3/18/2016,4:06pm,-0.47,158.27,158.5,156.66,854195,157.94
AAAP,38.01,3/18/2016,4:00pm,3.41,35,39.66,34.35,37268,34.6
WMS,22.1,3/18/2016,4:06pm,0.29,21.97,22.48,21.97,655327,21.81
AEIS,32.8,3/18/2016,4:00pm,0.1,32.9,32.98,32.01,771915,32.7
AITPU,N/A,N/A,N/A,0,N/A,N/A,N/A,0,N/A
AMD,2.93,3/18/2016,4:00pm,0.13,2.8,2.93,2.77,26330503,2.8
ASX,5.69,3/18/2016,4:02pm,-0.04,5.78,5.79,5.69,4057470,5.73
AAV,5.45,3/18/2016,4:02pm,-0.17,5.67,5.7,5.43,100810,5.62
ATE,10.02,3/18/2016,3:59pm,-0.18,9.93,10.03,9.92,17716,10.2
